0.759755, 1.28064, 2, 
0.789051, 1.26023, 2, 
0.742074, 1.23417, 2, 
0.839031, 1.17424, 2, 
0.859649, 1.13981, 2, 
0.812661, 1.16284, 2, 
0.834502, 1.18664, 2, 
0.983595, 1.06067, 0, 
0.826026, 1.1621, 2, 
0.716754, 1.25641, 2, 
0.76951, 1.21741, 2, 
0.776005, 1.19433, 2, 
0.793532, 1.19088, 2, 
0.671831, 1.3625, 2, 
0.706081, 1.24039, 2, 
0.716769, 1.2584, 2, 
0.637745, 1.34674, 2, 
0.774304, 1.26387, 2, 
0.645343, 1.38039, 2, 
0.767903, 1.16608, 2, 
0.745496, 1.31936, 2, 
0.756422, 1.20643, 2, 
0.691364, 1.27126, 2, 
0.647793, 1.32186, 2, 
0.742746, 1.28312, 2, 
0.679389, 1.36694, 2, 
0.781884, 1.28192, 2, 
0.703428, 1.23945, 2, 
0.803062, 1.16415, 2, 
0.736977, 1.24646, 2, 
0.692432, 1.21972, 2, 
0.586882, 1.42877, 2, 
0.755069, 1.3048, 2, 
0.769675, 1.22991, 2, 
0.793717, 1.2671, 2, 
0.67027, 1.30481, 2, 
0.652306, 1.35621, 2, 
0.720069, 1.25484, 2, 
0.793017, 1.20863, 2, 
0.701873, 1.35574, 2, 
0.834012, 1.20087, 2, 
0.576093, 1.30678, 2, 
0.721952, 1.36626, 2, 
0.717954, 1.39705, 2, 
0.691267, 1.44517, 2, 
0.786284, 1.2379, 2, 
0.802691, 1.18824, 2, 
0.743458, 1.31501, 3, 
0.706528, 1.36527, 2, 
0.787688, 1.16505, 1, 
